name,brand_name,species,life_stage,product_type,package_size_g,status,protein_pct,fat_pct,crude_fiber_pct,moisture_pct,ash_pct,me_kcal_per_kg,omega_3_pct,omega_6_pct,calcium_pct,phosphorus_pct,ingredients,unit_price_aud,price_date,store_name
Royal Canin Feline Health Nutrition Indoor Adult Dry Cat Food,Royal Canin,CAT,ADULT,DRY_FOOD,2000,ACTIVE,34.0,15.0,6.5,8.0,7.5,3800,0.8,3.2,1.2,1.0,"Chicken meal;Brown rice;Corn gluten meal;Chicken fat;Natural flavours;Fish oil",45.99,2026-06-01,petbarn.com.au
Royal Canin Feline Health Nutrition Kitten Dry Cat Food,Royal Canin,CAT,KITTEN,DRY_FOOD,2000,ACTIVE,36.0,18.0,4.5,8.0,7.0,4000,1.0,3.5,1.3,1.1,"Chicken meal;Chicken fat;Brewers rice;Corn gluten meal;Fish oil;Taurine",49.99,2026-06-01,petbarn.com.au
Royal Canin Feline Health Nutrition Aging 12+ Dry Cat Food,Royal Canin,CAT,SENIOR,DRY_FOOD,2000,ACTIVE,30.0,13.0,7.0,8.0,6.5,3700,0.9,3.0,1.0,0.8,"Chicken meal;Corn;Corn gluten meal;Chicken fat;Fish oil;Green-lipped mussel",47.99,2026-06-01,petbarn.com.au
Royal Canin Canine Health Nutrition Medium Adult Dry Dog Food,Royal Canin,DOG,ADULT,DRY_FOOD,4000,ACTIVE,25.0,14.0,4.0,9.5,7.0,3700,0.5,2.5,1.0,0.8,"Chicken meal;Brewers rice;Corn;Chicken fat;Beet pulp;Fish oil",65.99,2026-06-01,petbarn.com.au
Royal Canin Canine Health Nutrition Medium Puppy Dry Dog Food,Royal Canin,DOG,PUPPY,DRY_FOOD,4000,ACTIVE,29.0,16.0,3.5,9.0,7.5,3900,0.7,2.8,1.3,1.0,"Chicken meal;Chicken fat;Brewers rice;Corn gluten meal;Fish oil;Taurine",72.99,2026-06-01,petbarn.com.au
Hill's Science Diet Adult Indoor Dry Cat Food,Hill's Science Diet,CAT,ADULT,DRY_FOOD,1800,ACTIVE,32.0,14.0,7.0,8.0,6.5,3750,0.6,2.8,0.9,0.7,"Chicken meal;Whole grain wheat;Brewers rice;Corn gluten meal;Chicken fat;Fish oil",42.99,2026-06-01,petbarn.com.au
Hill's Science Diet Senior 11+ Indoor Dry Cat Food,Hill's Science Diet,CAT,SENIOR,DRY_FOOD,1800,ACTIVE,28.0,12.0,8.0,8.0,6.0,3600,0.7,2.5,0.8,0.6,"Chicken meal;Brewers rice;Whole grain corn;Chicken fat;Fish oil;Green-lipped mussel",46.99,2026-06-01,petcircle.com.au
Hill's Science Diet Adult Large Breed Dry Dog Food,Hill's Science Diet,DOG,ADULT,DRY_FOOD,6800,ACTIVE,22.0,12.0,5.0,10.0,6.5,3650,0.4,2.2,0.9,0.7,"Chicken meal;Whole grain wheat;Brewers rice;Soybean meal;Chicken fat;Fish oil",95.99,2026-06-01,petcircle.com.au
Hill's Science Diet Puppy Large Breed Dry Dog Food,Hill's Science Diet,DOG,PUPPY,DRY_FOOD,6800,ACTIVE,26.0,14.0,4.0,9.5,7.0,3800,0.5,2.5,1.2,0.9,"Chicken meal;Whole grain wheat;Brewers rice;Chicken fat;Fish oil;Taurine",99.99,2026-06-01,petcircle.com.au
Advance Adult Chicken Dry Cat Food,Advance,CAT,ADULT,DRY_FOOD,1500,ACTIVE,32.0,15.0,5.0,8.0,7.0,3850,0.5,2.6,1.0,0.8,"Chicken meal;Rice;Chicken fat;Maize gluten meal;Fish oil;Taurine",39.99,2026-06-01,petbarn.com.au
Advance Kitten Growth Dry Cat Food,Advance,CAT,KITTEN,DRY_FOOD,1500,ACTIVE,36.0,18.0,4.0,8.0,7.5,4100,0.8,3.0,1.3,1.1,"Chicken meal;Chicken fat;Rice;Fish oil;Taurine;Colostrum",44.99,2026-06-01,petbarn.com.au
Advance Adult All Breed Dry Dog Food,Advance,DOG,ADULT,DRY_FOOD,3000,ACTIVE,24.0,13.0,4.5,9.0,7.0,3750,0.4,2.3,0.9,0.7,"Chicken meal;Rice;Chicken fat;Beet pulp;Fish oil;Vitamin E",52.99,2026-06-01,petcircle.com.au
Advance Senior Plus Dry Dog Food,Advance,DOG,SENIOR,DRY_FOOD,3000,ACTIVE,22.0,11.0,6.0,9.0,6.5,3550,0.6,2.0,0.8,0.6,"Chicken meal;Rice;Chicken fat;Beet pulp;Fish oil;Glucosamine",54.99,2026-06-01,petcircle.com.au
Black Hawk Original Adult Dry Cat Food,Black Hawk,CAT,ADULT,DRY_FOOD,1500,ACTIVE,34.0,16.0,5.0,8.0,7.0,3900,0.6,2.9,1.1,0.9,"Chicken meal;Peas;Chicken fat;Fish meal;Sweet potato;Taurine",41.99,2026-06-01,petbarn.com.au
Black Hawk Kitten Dry Cat Food,Black Hawk,CAT,KITTEN,DRY_FOOD,1500,ACTIVE,37.0,18.0,4.0,8.0,7.5,4100,0.9,3.2,1.3,1.1,"Chicken meal;Chicken fat;Peas;Fish meal;Taurine;Chicken liver",44.99,2026-06-01,petbarn.com.au
Black Hawk Original Adult Dry Dog Food,Black Hawk,DOG,ADULT,DRY_FOOD,3000,ACTIVE,25.0,14.0,4.5,9.0,7.0,3800,0.5,2.5,1.0,0.8,"Chicken meal;Peas;Chicken fat;Fish meal;Sweet potato;Beet pulp",54.99,2026-06-01,petbarn.com.au
Black Hawk Puppy Dry Dog Food,Black Hawk,DOG,PUPPY,DRY_FOOD,3000,ACTIVE,29.0,16.0,4.0,9.0,7.5,3950,0.7,2.8,1.3,1.0,"Chicken meal;Chicken fat;Peas;Fish meal;Taurine;Chicken liver",59.99,2026-06-01,petbarn.com.au
Ziwi Peak Lamb Recipe Wet Cat Food,Ziwi Peak,CAT,ADULT,WET_FOOD,185,ACTIVE,10.0,6.0,1.0,78.0,2.5,1200,0.4,1.2,0.3,0.2,"Lamb;Lamb broth;Lamb liver;Chickpeas;New Zealand green mussel;Taurine",5.49,2026-06-01,petcircle.com.au
Ziwi Peak Air-Dried Beef Dog Food,Ziwi Peak,DOG,ADULT,DRY_FOOD,1000,ACTIVE,38.0,30.0,4.0,14.0,8.0,5000,0.5,2.0,1.5,1.2,"Beef;Beef liver;Beef kidney;Beef heart;Chicory inulin;New Zealand green mussel",59.99,2026-06-01,petcircle.com.au
Ziwi Peak Air-Dried Chicken Dog Food,Ziwi Peak,DOG,ALL_LIFE_STAGES,DRY_FOOD,1000,ACTIVE,35.0,28.0,5.0,14.0,8.0,4800,0.5,2.2,1.4,1.1,"Chicken;Chicken liver;Chicken heart;Chicory inulin;New Zealand green mussel;Kelp",55.99,2026-06-01,petcircle.com.au
